               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.010194,           0.0033962,           0.0011807,             0.99634,             0.99969,             0.99423,             0.95906,            0.005594,            0.001912,          0.00032645,            0.005281,            0.005281,            0.005281
                 145,            0.010316,           0.0033736,           0.0013334,             0.99641,             0.99972,             0.99423,             0.95907,           0.0055903,           0.0019105,          0.00032518,            0.005248,            0.005248,            0.005248
                 146,            0.010319,           0.0033722,           0.0012989,             0.99644,             0.99971,             0.99423,             0.95912,           0.0055869,           0.0019092,          0.00032392,            0.005215,            0.005215,            0.005215
                 147,            0.010124,           0.0034113,            0.001259,             0.99644,             0.99971,             0.99424,             0.95918,           0.0055827,           0.0019077,          0.00032242,            0.005182,            0.005182,            0.005182
                 148,            0.010153,            0.003369,           0.0011521,             0.99644,             0.99971,             0.99425,             0.95921,           0.0055787,           0.0019066,          0.00032098,            0.005149,            0.005149,            0.005149
                 149,           0.0099616,           0.0032851,          0.00095374,             0.99638,             0.99965,             0.99425,             0.95929,           0.0055746,           0.0019049,          0.00031972,            0.005116,            0.005116,            0.005116
                 150,            0.010007,           0.0033068,           0.0011776,             0.99639,             0.99965,             0.99426,             0.95931,           0.0055708,           0.0019035,          0.00031853,            0.005083,            0.005083,            0.005083
                 151,           0.0099923,           0.0032877,           0.0011861,             0.99639,             0.99965,             0.99426,             0.95935,           0.0055671,           0.0019016,          0.00031717,             0.00505,             0.00505,             0.00505
                 152,           0.0098927,           0.0033123,           0.0011921,             0.99638,             0.99966,             0.99428,             0.95939,           0.0055647,           0.0019001,          0.00031577,            0.005017,            0.005017,            0.005017
                 153,           0.0099752,            0.003344,          0.00099057,             0.99638,             0.99967,             0.99429,             0.95954,           0.0055616,           0.0018985,          0.00031432,            0.004984,            0.004984,            0.004984
                 154,           0.0098954,           0.0032676,           0.0010074,              0.9964,             0.99967,              0.9943,             0.95948,           0.0055566,           0.0018965,          0.00031287,            0.004951,            0.004951,            0.004951
                 155,           0.0098475,           0.0032801,           0.0010837,             0.99639,             0.99964,              0.9943,             0.95966,           0.0055525,           0.0018946,          0.00031143,            0.004918,            0.004918,            0.004918
